Actual,Predicted,Probability,Prediction_Label
1,1,0.9966799123164056,Fraudulent
1,1,0.9989578538427359,Fraudulent
0,0,0.3902515418155509,Genuine
1,1,0.999997898210369,Fraudulent
1,1,0.9949953943085403,Fraudulent
0,0,0.1337650378106388,Genuine
1,1,0.9999999997639935,Fraudulent
1,0,0.3336221966366224,Genuine
0,0,0.18671940595212005,Genuine
1,1,0.9999999987542307,Fraudulent
0,0,0.2585215071981642,Genuine
1,1,0.99999946033821,Fraudulent
1,1,0.9999999989441941,Fraudulent
0,0,0.27003967900114806,Genuine
0,0,0.23965883553820772,Genuine
0,0,0.08701174701580872,Genuine
1,1,0.99999430146012,Fraudulent
1,1,0.9999999997436997,Fraudulent
0,0,0.12127096070899439,Genuine
0,0,0.07147361644260332,Genuine
0,0,0.08221946590372937,Genuine
1,1,0.999995810501207,Fraudulent
1,1,0.9999999999981042,Fraudulent
1,1,0.9984447025580638,Fraudulent
0,0,0.21340361838558677,Genuine
0,0,0.03409631621796411,Genuine
1,1,0.9999941666959491,Fraudulent
1,1,0.9999817086966911,Fraudulent
1,1,0.999289427696653,Fraudulent
0,0,0.042205957450806186,Genuine
0,0,0.22726275992323752,Genuine
1,1,0.9879372820471808,Fraudulent
1,1,0.9997712915148445,Fraudulent
1,1,0.9999792310367618,Fraudulent
1,1,0.9333929433147902,Fraudulent
0,0,0.024780971266264253,Genuine
1,1,0.9999995646089966,Fraudulent
1,1,0.9997158603898206,Fraudulent
1,1,0.999999914923584,Fraudulent
1,1,0.9719679564808923,Fraudulent
1,1,0.976668176888683,Fraudulent
1,1,0.9976490233824877,Fraudulent
0,0,0.42679511633264017,Genuine
1,1,0.9758451813473774,Fraudulent
1,1,0.9999997751583797,Fraudulent
1,1,0.9772307448291128,Fraudulent
0,0,0.11901456485845624,Genuine
1,1,0.9936804807844893,Fraudulent
0,0,0.3307366740947453,Genuine
0,0,0.03513860132054227,Genuine
1,1,0.9999867864690088,Fraudulent
0,0,0.06361534302687497,Genuine
1,1,0.9915063349616228,Fraudulent
0,0,0.3110148765132782,Genuine
1,1,0.9999999995799325,Fraudulent
0,0,0.02925837107420891,Genuine
1,1,0.9254933787302747,Fraudulent
0,0,0.030082571959212958,Genuine
0,0,0.03709748464223572,Genuine
1,1,0.9999982100520899,Fraudulent
0,0,0.10097007287477983,Genuine
1,1,0.9999765672158129,Fraudulent
1,1,0.7441951372549331,Fraudulent
0,0,0.27801081405754025,Genuine
